Date_day0,RMM1_0,RMM2_0,RMM1_obs,RMM2_obs,RMM1_pf1,RMM2_pf1,RMM1_pf2,RMM2_pf2,RMM1_pf3,RMM2_pf3,RMM1_pf4,RMM2_pf4,RMM1_pf5,RMM2_pf5,RMM1_pf6,RMM2_pf6,RMM1_pf7,RMM2_pf7,RMM1_pf8,RMM2_pf8,RMM1_pf9,RMM2_pf9,RMM1_pf10,RMM2_pf10,RMM1_pf11,RMM2_pf11
2004-03-23,1.0135595798492432,2.65468168258667,-1.1127121448516846,-0.3354445993900299,-0.7090000000000001,-0.002,-1.1,-0.114,-0.946,-0.35200000000000004,-0.7509999999999999,0.532,-0.738,-0.7440000000000001,-1.411,0.428,-1.054,-0.059000000000000004,-0.584,0.027999999999999997,-0.375,-0.48100000000000004,-0.342,-0.301,-0.899,0.18100000000000002
2004-03-26,-0.7075034379959106,2.455371141433716,-0.3890250623226166,-0.2684928774833679,-0.645,0.33799999999999997,-1.0090000000000001,-0.22,-0.795,0.772,-0.765,0.868,-0.6629999999999999,-0.14800000000000002,-0.379,0.413,0.174,-0.16699999999999998,-0.228,-0.003,0.428,-0.754,-0.688,-0.16699999999999998,-1.729,-0.003
2004-03-30,-1.815893292427063,1.0112574100494385,-0.5227966904640198,0.8750246167182922,-0.281,0.376,-0.10300000000000001,-0.139,-0.385,0.223,-0.9620000000000001,1.375,0.37,-0.175,-1.037,0.39799999999999996,0.594,0.726,0.48200000000000004,-0.07,-0.9129999999999999,-0.773,0.256,0.7440000000000001,0.47,-0.319
2004-04-02,-1.299781084060669,-0.19384776055812836,-0.7713263034820557,1.1230432987213135,-0.696,1.3219999999999998,0.564,0.027999999999999997,-1.121,1.3980000000000001,-0.81,1.136,-0.166,1.2229999999999999,-0.555,-0.142,0.256,1.226,-0.086,0.722,-0.965,1.053,-0.09300000000000001,0.669,-1.665,1.085
2004-04-06,-0.3890250623226166,-0.2684928774833679,-0.3758586645126343,0.3022666573524475,-0.384,-0.073,-0.228,-0.423,-0.653,-1.035,0.314,0.03,-0.23,0.084,-0.899,0.095,-0.008,0.048,-0.499,-0.898,-0.634,0.035,-0.185,0.461,-1.3359999999999999,0.976
2004-04-09,-0.20481954514980316,0.42988213896751404,-0.814721405506134,-0.6697447299957275,-0.33299999999999996,-0.9179999999999999,-0.8740000000000001,-1.4040000000000001,-0.9009999999999999,-0.124,-0.634,-0.907,0.341,-0.61,-0.092,-0.183,-0.304,-0.898,-1.345,-0.502,-0.677,0.195,-0.823,-1.382,-0.785,-0.7959999999999999
2004-04-13,-0.7713263034820557,1.1230432987213135,-0.7319893836975098,-1.4406795501708984,-0.207,-0.6409999999999999,0.6579999999999999,-1.4180000000000001,-0.7190000000000001,-0.706,0.7829999999999999,-1.4609999999999999,0.16699999999999998,-0.723,-0.434,-1.167,0.092,-1.421,0.155,-1.597,-0.599,-1.641,-0.565,-0.941,-0.308,-0.39799999999999996
2004-04-16,-0.6186432242393494,0.7306497097015381,0.278678297996521,-1.614414095878601,0.44,-1.003,0.284,-0.914,-0.177,-1.145,1.422,-1.579,-0.114,-0.9209999999999999,1.4909999999999999,-1.294,0.063,-1.161,-0.16399999999999998,-0.905,0.14300000000000002,0.34700000000000003,0.373,-1.025,0.364,-0.753
2004-04-20,-0.814721405506134,-0.6697447299957275,1.3099154233932495,-1.9954874515533447,0.603,-1.212,0.43700000000000006,-1.216,1.047,-1.9180000000000001,1.526,-1.506,0.725,-0.657,0.505,-0.943,0.995,-1.109,0.795,-1.344,1.546,-1.3230000000000002,0.505,-1.9169999999999998,0.496,-0.8909999999999999
2004-04-23,-0.7005688548088074,-1.3063961267471313,1.6967090368270874,-2.3091697692871094,0.797,-1.4,1.4980000000000002,-0.28,1.8769999999999998,-2.501,0.745,-0.067,1.797,-1.401,1.177,-2.278,0.447,-0.823,2.0869999999999997,-0.961,0.953,-0.903,0.893,-0.909,0.652,-1.8980000000000001
2004-04-27,0.278678297996521,-1.614414095878601,2.338716506958008,-0.7427278757095337,1.3159999999999998,-1.159,1.8869999999999998,-1.206,1.338,-0.889,2.9960000000000004,-0.491,1.9380000000000002,-1.105,0.977,-0.5429999999999999,0.5670000000000001,-0.93,1.31,-2.145,1.8030000000000002,-1.186,1.608,-0.07200000000000001,2.35,-0.124
2004-04-30,1.3137810230255127,-1.871580958366394,2.3667023181915283,0.11723208427429199,1.754,-1.131,0.632,-1.317,2.329,-0.579,1.933,-0.9940000000000001,1.7109999999999999,-1.17,1.158,-0.633,2.492,-0.66,1.025,-1.3119999999999998,1.59,-0.797,2.7689999999999997,-1.013,2.225,-0.494
2004-05-04,1.6967090368270874,-2.3091697692871094,0.8171033263206482,0.8895667791366577,0.96,-0.361,0.302,-0.09,1.874,0.46399999999999997,1.119,-0.149,0.366,0.049,0.95,-0.109,1.287,0.45899999999999996,0.785,0.423,0.9229999999999999,0.145,1.889,0.042,1.422,0.196
2004-05-07,2.300321102142334,-1.3086808919906616,-0.2771962583065033,0.4009286165237427,-0.09,-0.191,0.38,-0.376,-0.47200000000000003,0.493,0.532,-0.11699999999999999,-0.161,-0.465,1.43,0.304,-0.382,1.079,0.42700000000000005,0.239,0.43,0.013999999999999999,1.254,0.752,0.888,-0.358
2004-05-11,2.3667023181915283,0.11723208427429199,0.04966229572892189,-0.2220400869846344,0.129,-0.444,-0.38,-0.27699999999999997,-0.326,-0.504,-0.0,0.083,-0.637,-0.34299999999999997,-0.152,0.15,-0.6559999999999999,0.21600000000000003,-0.157,-0.17,-0.32299999999999995,-0.17,-0.9470000000000001,-0.505,-0.09,-0.121
2004-05-14,1.2586417198181152,0.834511399269104,-0.7257121205329895,-0.6212209463119507,-0.092,0.086,0.804,0.36,-1.18,0.478,0.023,0.648,-0.451,0.249,-0.562,0.795,-0.49,0.28600000000000003,-0.462,-0.321,-1.236,-0.35,0.20600000000000002,0.133,-0.705,0.36
2004-05-18,-0.2771962583065033,0.4009286165237427,-0.2131020873785019,-1.1251739263534546,-0.315,-0.76,-0.638,-0.142,-0.503,-0.303,-0.578,-0.593,-0.29,0.114,-0.636,0.35200000000000004,-0.503,0.218,0.45899999999999996,-0.429,0.374,-0.509,-0.331,-0.9,0.035,-0.904
2004-05-21,-0.06332717090845108,0.06615511327981949,0.38791924715042114,-0.3917139768600464,-0.518,-0.593,0.544,-0.49200000000000005,-0.505,-0.017,0.092,-0.953,-0.013000000000000001,-0.735,-0.368,-0.759,-1.304,-0.624,-1.002,-0.795,-0.624,-0.299,-1.331,-0.47100000000000003,0.33399999999999996,-0.534
2004-05-25,-0.7257121205329895,-0.6212209463119507,0.01876109652221203,-0.3830500543117523,-0.193,-0.287,0.7609999999999999,0.139,-0.573,-0.141,0.636,-0.314,0.062,-0.5920000000000001,0.14,0.26,-0.237,-0.575,1.445,0.11199999999999999,0.8240000000000001,-0.325,-0.214,-0.41,-0.40299999999999997,-0.287
2004-05-28,-0.739139199256897,-1.2862145900726318,0.018917763605713844,-0.3170132040977478,-0.141,-0.725,-1.052,-0.2,-0.23399999999999999,-0.584,0.589,1.067,-0.445,0.38799999999999996,-0.015,-0.665,0.048,-0.5770000000000001,0.535,0.124,0.152,0.748,0.096,-0.735,-0.11199999999999999,-0.146
