ecmf prod rf 2000021800 20160218 11 046
0384 pf 02  1.312 -0.526  1.414 4
0384 pf 03  0.894  0.468  1.009 5
0384 pf 04  0.650 -0.636  0.910 4
0384 pf 05  0.547 -0.039  0.548 4
0384 pf 06 -0.251 -1.035  1.065 2
0384 pf 07  1.009 -0.562  1.156 4
0384 pf 08  0.848  0.567  1.020 5
0384 pf 09  0.408  0.040  0.410 5
0384 pf 10  0.393 -0.170  0.428 4
0408 em 00  0.624 -0.068  0.628 4
0408 cf 00  0.529  0.301  0.609 5
0408 pf 01  0.590  0.568  0.819 5
0408 pf 02  1.410  0.015  1.410 5
0408 pf 03  1.047  0.527  1.172 5
0408 pf 04  0.424 -0.720  0.836 3
0408 pf 05  0.847  0.101  0.853 5
0408 pf 06 -0.158 -1.191  1.201 2
0408 pf 07  0.979 -0.651  1.176 4
0408 pf 08  0.731  0.756  1.052 6
0408 pf 09  0.112 -0.277  0.299 3
0408 pf 10  0.469 -0.036  0.470 4
0432 em 00  0.515  0.062  0.519 5
0432 cf 00 -0.040  0.419  0.421 7
0432 pf 01  0.198  0.978  0.998 6
0432 pf 02  1.434  0.093  1.437 5
0432 pf 03  1.127  0.834  1.402 5
0432 pf 04  0.569 -0.616  0.838 3
0432 pf 05  0.900  0.184  0.919 5
0432 pf 06  0.293 -0.876  0.923 3
0432 pf 07  0.654 -0.786  1.023 3
0432 pf 08  0.599  0.881  1.066 6
0432 pf 09  0.071 -0.219  0.230 3
0432 pf 10 -0.041 -0.031  0.052 1
0456 em 00  0.475  0.172  0.505 5
0456 cf 00 -0.591  0.501  0.775 8
0456 pf 01  0.088  1.234  1.238 6
0456 pf 02  1.152  0.110  1.158 5
0456 pf 03  1.102  0.901  1.424 5
0456 pf 04  0.922 -0.398  1.004 4
0456 pf 05  0.984  0.679  1.196 5
0456 pf 06  0.781 -0.779  1.103 4
0456 pf 07  0.365 -0.567  0.675 3
0456 pf 08  0.640  0.967  1.160 6
0456 pf 09 -0.141 -0.620  0.636 2
0456 pf 10  0.013  0.077  0.078 6
0480 em 00  0.471  0.235  0.526 5
0480 cf 00 -0.728  0.522  0.896 8
0480 pf 01  0.128  1.208  1.215 6
0480 pf 02  0.936  0.111  0.942 5
0480 pf 03  1.155  1.058  1.566 5
0480 pf 04  1.248 -0.300  1.284 4
0480 pf 05  0.929  0.906  1.297 5
0480 pf 06  0.971 -0.822  1.272 4
0480 pf 07  0.041 -0.075  0.085 3
0480 pf 08  0.704  0.949  1.181 6
0480 pf 09  0.067 -0.836  0.839 3
0480 pf 10 -0.209  0.084  0.226 8
0504 em 00  0.375  0.253  0.453 5
0504 cf 00 -0.880  0.309  0.932 8
0504 pf 01  0.054  0.919  0.921 6
0504 pf 02  0.801  0.142  0.814 5
0504 pf 03  0.653  0.757  1.000 6
0504 pf 04  1.056 -0.007  1.056 4
0504 pf 05  0.653  1.087  1.268 6
0504 pf 06  0.771 -0.777  1.094 3
0504 pf 07  0.075  0.509  0.515 6
0504 pf 08  0.644  0.736  0.978 6
0504 pf 09  0.169 -0.818  0.836 3
0504 pf 10  0.161  0.149  0.219 5
0528 em 00  0.247  0.378  0.452 6
0528 cf 00 -1.221  0.187  1.235 8
0528 pf 01  0.103  1.106  1.110 6
0528 pf 02  0.846  0.094  0.851 5
0528 pf 03 -0.017  0.965  0.965 7
0528 pf 04  0.588  0.268  0.647 5
0528 pf 05  0.299  1.094  1.134 6
0528 pf 06  0.920 -0.386  0.998 4
0528 pf 07  0.131  0.640  0.654 6
0528 pf 08  0.219  1.001  1.024 6
0528 pf 09  0.414 -0.748  0.855 3
0528 pf 10  0.438  0.124  0.455 5
0552 em 00  0.193  0.458  0.497 6
0552 cf 00 -1.179  0.400  1.245 8
0552 pf 01  0.219  1.007  1.031 6
0552 pf 02  0.910  0.084  0.913 5
0552 pf 03 -0.005  1.552  1.552 7
0552 pf 04  0.272  0.555  0.618 6
0552 pf 05 -0.059  1.299  1.301 7
0552 pf 06  0.554 -0.368  0.666 4
0552 pf 07  0.156  0.524  0.547 6
0552 pf 08  0.015  0.799  0.799 6
0552 pf 09  0.415 -0.676  0.793 3
0552 pf 10  0.793  0.040  0.794 5
0576 em 00  0.172  0.418  0.452 6
0576 cf 00 -1.073  0.223  1.096 8
0576 pf 01  0.594  1.063  1.218 6
0576 pf 02  0.799  0.145  0.812 5
0576 pf 03  0.216  1.628  1.642 6
0576 pf 04 -0.167  0.607  0.629 7
0576 pf 05 -0.351  1.211  1.261 7
0576 pf 06  0.497 -0.367  0.617 4
0576 pf 07  0.229  0.136  0.266 5
0576 pf 08  0.177  0.598  0.624 6
0576 pf 09  0.333 -0.440  0.552 3
0576 pf 10  0.586 -0.021  0.586 4
0600 em 00  0.176  0.555  0.582 6
0600 cf 00 -0.955  0.215  0.979 8
0600 pf 01  0.761  1.390  1.585 6
0600 pf 02  0.862  0.544  1.019 5
0600 pf 03  0.359  1.556  1.597 6
0600 pf 04 -0.317  0.717  0.784 7
0600 pf 05 -0.328  1.288  1.329 7
0600 pf 06  0.413 -0.158  0.442 4
0600 pf 07  0.032  0.044  0.055 6
0600 pf 08  0.168  0.866  0.882 6
0600 pf 09  0.147 -0.145  0.206 4
0600 pf 10  0.719 -0.049  0.720 4
0624 em 00  0.201  0.731  0.758 6
0624 cf 00 -0.876  0.226  0.905 8
0624 pf 01  0.854  1.963  2.141 6
0624 pf 02  1.104  1.155  1.598 6
0624 pf 03  0.451  1.476  1.543 6
0624 pf 04 -0.251  0.741  0.782 7
0624 pf 05 -0.260  1.299  1.325 7
0624 pf 06  0.042 -0.331  0.334 3
0624 pf 07 -0.191 -0.085  0.209 1
0624 pf 08 -0.123  1.509  1.514 7
0624 pf 09  0.441  0.330  0.551 5
0624 pf 10  0.917 -0.101  0.923 4
0648 em 00  0.141  0.736  0.749 6
0648 cf 00 -0.770  0.024  0.770 8
0648 pf 01  0.725  2.144  2.263 6
0648 pf 02  1.230  1.140  1.677 5
0648 pf 03  0.604  1.211  1.353 6
0648 pf 04 -0.343  0.657  0.741 7
0648 pf 05 -0.292  1.441  1.470 7
0648 pf 06 -0.432 -0.401  0.590 1
0648 pf 07 -0.270 -0.012  0.270 1
0648 pf 08 -0.389  1.752  1.794 7
0648 pf 09  0.369  0.329  0.494 5
0648 pf 10  0.984 -0.076  0.987 4
0672 em 00  0.141  0.683  0.698 6
0672 cf 00 -0.146 -0.238  0.280 2
0672 pf 01  0.942  1.735  1.974 6
0672 pf 02  1.152  1.306  1.741 6
0672 pf 03  0.836  0.800  1.157 5
0672 pf 04 -0.260  0.725  0.770 7
0672 pf 05 -0.376  1.285  1.339 7
0672 pf 06 -0.933 -0.566  1.091 1
0672 pf 07 -0.424  0.208  0.472 8
0672 pf 08 -0.815  2.008  2.167 7
0672 pf 09  0.418  0.340  0.538 5
0672 pf 10  1.009  0.005  1.009 5
0696 em 00  0.109  0.692  0.700 6
0696 cf 00  0.325 -0.121  0.347 4
0696 pf 01  1.065  1.763  2.060 6
0696 pf 02  0.614  0.972  1.150 6
0696 pf 03  0.817  0.539  0.979 5
0696 pf 04  0.060  0.621  0.624 6
0696 pf 05 -0.169  1.217  1.229 7
0696 pf 06 -1.374 -0.768  1.574 1
0696 pf 07 -0.523  0.350  0.629 8
0696 pf 08 -0.690  2.307  2.408 7
0696 pf 09  0.154  0.334  0.368 6
0696 pf 10  0.791  0.476  0.923 5
0720 em 00  0.167  0.801  0.818 6
0720 cf 00  0.536  0.179  0.565 5
0720 pf 01  1.014  2.099  2.331 6
0720 pf 02  0.206  1.041  1.061 6
0720 pf 03  0.666  0.788  1.032 6
0720 pf 04  0.548  0.507  0.746 5
0720 pf 05  0.038  1.020  1.020 6
0720 pf 06 -1.201 -0.768  1.425 1
0720 pf 07 -0.247  0.429  0.495 7
0720 pf 08 -0.767  2.253  2.380 7
0720 pf 09  0.252  0.523  0.581 6
0720 pf 10  0.671  0.809  1.051 6
0744 em 00  0.122  0.916  0.924 6
0744 cf 00  0.535  0.187  0.567 5
0744 pf 01  0.696  2.136  2.247 6
0744 pf 02 -0.082  1.358  1.360 7
0744 pf 03  0.246  1.032  1.061 6
0744 pf 04  0.643  0.520  0.827 5
0744 pf 05  0.146  1.029  1.039 6
0744 pf 06 -0.847 -0.795  1.162 1
0744 pf 07  0.163  0.582  0.604 6
0744 pf 08 -0.661  2.230  2.326 7
0744 pf 09 -0.068  0.666  0.669 7
0744 pf 10  0.464  1.173  1.262 6
0768 em 00  0.171  1.001  1.015 6
0768 cf 00  0.318 -0.014  0.318 4
0768 pf 01  0.114  2.276  2.279 6
0768 pf 02 -0.068  1.345  1.347 7
0768 pf 03  0.059  1.383  1.384 6
0768 pf 04  0.902  0.644  1.108 5
0768 pf 05  0.123  1.192  1.198 6
0768 pf 06 -0.381 -0.882  0.960 2
0768 pf 07  0.925  0.855  1.259 5
0768 pf 08 -0.707  1.912  2.039 7
0768 pf 09 -0.115  1.056  1.062 7
0768 pf 10  0.595  1.257  1.391 6
0792 em 00  0.071  0.933  0.935 6
0792 cf 00 -0.037  0.210  0.214 7
0792 pf 01 -0.242  2.275  2.287 7
0792 pf 02 -0.188  1.037  1.054 7
0792 pf 03 -0.342  1.359  1.402 7
0792 pf 04  0.913  0.496  1.039 5
0792 pf 05 -0.013  1.117  1.117 7
0792 pf 06 -0.120 -1.030  1.037 2
0792 pf 07  1.060  0.805  1.331 5
0792 pf 08 -0.555  1.815  1.898 7
0792 pf 09 -0.159  1.285  1.294 7
0792 pf 10  0.363  0.888  0.959 6
0816 em 00 -0.068  0.973  0.976 7
0816 cf 00 -0.052  0.379  0.382 7
0816 pf 01 -0.669  2.369  2.462 7
0816 pf 02 -0.171  0.844  0.861 7
0816 pf 03 -0.828  1.690  1.882 7
0816 pf 04  0.976  0.796  1.260 5
0816 pf 05 -0.166  0.960  0.975 7
0816 pf 06 -0.112 -1.114  1.119 2
0816 pf 07  0.656  0.706  0.964 6
0816 pf 08 -0.500  1.637  1.712 7
0816 pf 09 -0.278  1.477  1.503 7
0816 pf 10  0.289  0.915  0.959 6
