ecmf prod rf 1996071300 20150713 11 046
0480 pf 10  1.033  0.631  1.211 5
0504 em 00  0.484  0.736  0.881 6
0504 cf 00  0.125  0.342  0.365 6
0504 pf 01  0.387  0.867  0.949 6
0504 pf 02 -0.418  0.582  0.717 7
0504 pf 03  0.710  1.894  2.022 6
0504 pf 04  0.754 -0.379  0.843 4
0504 pf 05  0.849  0.181  0.868 5
0504 pf 06  0.192  1.081  1.097 6
0504 pf 07  1.287  0.605  1.422 5
0504 pf 08  0.591  1.074  1.225 6
0504 pf 09 -0.322  1.145  1.189 7
0504 pf 10  1.267  0.619  1.410 5
0528 em 00  0.466  0.621  0.776 6
0528 cf 00  0.245  0.061  0.252 5
0528 pf 01  0.112  0.716  0.725 6
0528 pf 02 -0.265  0.400  0.480 7
0528 pf 03  0.543  1.798  1.879 6
0528 pf 04  0.932 -0.198  0.952 4
0528 pf 05  0.642  0.053  0.644 5
0528 pf 06  0.416  1.067  1.145 6
0528 pf 07  1.291  0.580  1.416 5
0528 pf 08  0.475  0.557  0.732 6
0528 pf 09 -0.311  1.134  1.176 7
0528 pf 10  1.141  0.627  1.302 5
0552 em 00  0.273  0.531  0.597 6
0552 cf 00 -0.008 -0.099  0.100 2
0552 pf 01 -0.055  0.610  0.612 7
0552 pf 02 -0.314  0.243  0.397 8
0552 pf 03  0.147  1.700  1.706 6
0552 pf 04  0.727  0.071  0.731 5
0552 pf 05  0.547  0.111  0.559 5
0552 pf 06  0.371  0.995  1.062 6
0552 pf 07  1.183  0.727  1.388 5
0552 pf 08  0.179 -0.062  0.189 4
0552 pf 09 -0.472  0.989  1.096 7
0552 pf 10  0.798  0.545  0.966 5
0576 em 00  0.098  0.419  0.431 6
0576 cf 00 -0.398 -0.184  0.439 1
0576 pf 01 -0.223  0.359  0.423 7
0576 pf 02 -0.292  0.068  0.299 8
0576 pf 03  0.008  1.710  1.710 6
0576 pf 04  0.526 -0.043  0.528 4
0576 pf 05  0.454  0.011  0.455 5
0576 pf 06  0.113  0.925  0.932 6
0576 pf 07  1.102  0.889  1.416 5
0576 pf 08  0.120 -0.342  0.363 3
0576 pf 09 -0.909  0.694  1.144 8
0576 pf 10  0.661  0.556  0.864 5
0600 em 00  0.001  0.414  0.414 6
0600 cf 00 -0.587 -0.380  0.699 1
0600 pf 01 -0.177  0.209  0.275 7
0600 pf 02 -0.273 -0.240  0.363 1
0600 pf 03  0.424  1.821  1.870 6
0600 pf 04  0.123 -0.135  0.183 3
0600 pf 05  0.214  0.065  0.224 5
0600 pf 06  0.307  1.018  1.063 6
0600 pf 07  0.973  1.149  1.506 6
0600 pf 08 -0.020 -0.183  0.184 2
0600 pf 09 -1.306  0.278  1.335 8
0600 pf 10  0.378  0.994  1.064 6
0624 em 00 -0.146  0.443  0.466 7
0624 cf 00 -0.820 -0.592  1.011 1
0624 pf 01 -0.322  0.112  0.341 8
0624 pf 02 -0.079 -0.213  0.227 2
0624 pf 03  0.626  1.846  1.949 6
0624 pf 04 -0.276 -0.049  0.280 1
0624 pf 05  0.017  0.261  0.261 6
0624 pf 06 -0.169  1.190  1.202 7
0624 pf 07  0.728  1.414  1.590 6
0624 pf 08 -0.127  0.006  0.128 8
0624 pf 09 -1.322 -0.076  1.324 1
0624 pf 10  0.181  1.028  1.043 6
0648 em 00 -0.199  0.438  0.481 7
0648 cf 00 -0.661 -0.651  0.928 1
0648 pf 01 -0.473 -0.193  0.510 1
0648 pf 02  0.049 -0.141  0.149 3
0648 pf 03  0.339  1.972  2.001 6
0648 pf 04 -0.541  0.109  0.552 8
0648 pf 05 -0.268  0.471  0.542 7
0648 pf 06 -0.166  1.089  1.101 7
0648 pf 07  0.653  1.341  1.492 6
0648 pf 08 -0.131  0.011  0.131 8
0648 pf 09 -0.994 -0.230  1.020 1
0648 pf 10  0.050  1.083  1.084 6
0672 em 00 -0.107  0.357  0.373 7
0672 cf 00 -0.360 -0.815  0.891 2
0672 pf 01 -0.114 -0.287  0.309 2
0672 pf 02  0.340  0.002  0.340 5
0672 pf 03  0.381  2.150  2.183 6
0672 pf 04 -0.439  0.307  0.536 8
0672 pf 05 -0.308  0.291  0.424 8
0672 pf 06  0.059  0.855  0.857 6
0672 pf 07  0.599  1.283  1.415 6
0672 pf 08 -0.297 -0.156  0.336 1
0672 pf 09 -0.691 -0.609  0.921 1
0672 pf 10 -0.270  0.969  1.006 7
0696 em 00 -0.030  0.311  0.312 7
0696 cf 00 -0.085 -0.937  0.941 2
0696 pf 01  0.080 -0.239  0.252 3
0696 pf 02  0.526  0.422  0.675 5
0696 pf 03  0.299  2.067  2.089 6
0696 pf 04 -0.392  0.146  0.418 8
0696 pf 05 -0.392  0.000  0.392 8
0696 pf 06  0.160  0.964  0.977 6
0696 pf 07  0.424  1.122  1.199 6
0696 pf 08 -0.100 -0.286  0.303 2
