Date_day0,RMM1(0),RMM2(0),RMM1(forecast),RMM2(forecast),RMM1(obs),RMM2(obs)
2005-05-21,-1.423116683959961,0.6704217791557312,0.601,-0.115,0.36299359798431396,-0.5573902130126953
2005-05-25,0.04521673917770386,-0.404413640499115,0.853,-0.24100000000000002,0.8395841717720032,-0.22963111102581024
2005-05-28,0.8260751366615295,-0.5116229057312012,0.8540000000000001,0.295,0.6027824282646179,0.3018650412559509
2005-06-01,0.856770932674408,0.14175905287265778,0.256,0.049,-0.11571895331144333,-0.36154383420944214
2005-06-04,0.1427404284477234,0.22503240406513214,0.099,-0.21600000000000003,-0.2606761157512665,-0.7998495101928711
2005-06-08,-0.06385066360235214,-0.6927259564399719,-0.149,0.21100000000000002,0.30121755599975586,-0.4920199513435364
2005-06-11,-0.12887924909591675,-0.8012874722480774,0.024,0.373,0.7244154214859009,-0.3832799792289734
2005-06-15,0.7363826632499695,-0.3687725365161896,0.7979999999999999,-0.297,0.7057090997695923,-0.7896783947944641
2005-06-18,0.8619832992553711,-0.6082398295402527,0.762,-0.45299999999999996,-0.039664823561906815,-0.33248037099838257
2005-06-22,0.21844148635864258,-0.5265661478042603,-0.259,-1.014,-0.374607652425766,-0.5987813472747803
2005-06-25,-0.4386805295944214,-0.4360416829586029,-0.192,-1.1520000000000001,-0.4059005081653595,-0.9252575039863586
2005-06-29,-0.4138728082180023,-0.6170353293418884,0.20800000000000002,-1.473,-0.17009682953357697,-1.4475195407867432
2005-07-02,-0.2648623585700989,-1.1921731233596802,-0.05,-1.153,-0.12692086398601532,-0.5353755950927734
2005-07-06,-0.12613943219184875,-0.8989721536636353,0.002,-0.752,-0.5319233536720276,-0.20301397144794464
2005-07-09,-0.23544111847877502,-0.4198891222476959,-0.09699999999999999,-1.079,-0.6773510575294495,-0.696876585483551
2005-07-13,-0.5538785457611084,-0.569839358329773,-0.040999999999999995,-0.43799999999999994,-0.1188008263707161,-0.6178205013275146
2005-07-16,-0.1308305710554123,-0.4975453317165375,0.179,-0.006,0.7254140377044678,-0.2433529645204544
2005-07-20,0.35481423139572144,-0.08916737139225006,0.6890000000000001,0.141,1.381923794746399,0.06756148487329483
2005-07-23,0.9246790409088135,-0.41922876238822937,0.8740000000000001,0.5579999999999999,1.1596012115478516,0.18860024213790894
2005-07-27,1.2235181331634521,0.3372398912906647,0.648,0.223,1.35954749584198,0.529507577419281
2005-07-30,1.4210481643676758,0.12777383625507355,0.831,1.083,0.9380031824111938,1.5545579195022583
2005-08-03,1.1571404933929443,1.4595074653625488,-0.11900000000000001,0.643,0.1462896466255188,0.9637635946273804
2005-08-06,0.7089000344276428,1.5400221347808838,-0.21100000000000002,0.426,-0.260055273771286,0.34059759974479675
2005-08-10,-0.07412220537662506,0.6635692119598389,-0.6729999999999999,-0.07200000000000001,-0.9958696365356445,-0.23201073706150055
2005-08-13,-1.014585018157959,-0.30687209963798523,-0.268,-0.09699999999999999,-0.7551536560058594,-0.39819222688674927
2005-08-17,-0.5560345649719238,-0.4798505902290344,0.19899999999999998,-0.46299999999999997,-0.4074508845806122,-0.3979153335094452
2005-08-20,-0.5626290440559387,-0.3314831852912903,0.016,-0.139,-0.0975603461265564,-0.27271798253059387
2005-08-24,-0.19611310958862305,-0.3718886971473694,-0.32,0.5820000000000001,-0.2971104681491852,0.4284582734107971
2005-08-27,-0.18113835155963898,-0.014048563316464424,0.327,0.282,0.6290568709373474,-0.5249090194702148
2005-08-31,0.49243849515914917,-0.1778663843870163,1.7469999999999999,-0.32899999999999996,1.9425392150878906,-0.8982425928115845
2005-09-03,1.2498493194580078,-0.8835751414299011,2.155,-0.115,2.396685838699341,-0.15719616413116455
2005-09-07,2.437849521636963,-0.4727631211280823,1.91,0.7090000000000001,1.8149662017822266,0.27009594440460205
2005-09-10,2.0060577392578125,0.8126861453056335,1.182,0.109,1.4257019758224487,0.28275954723358154
2005-09-14,1.7136963605880737,0.07765518128871918,0.456,0.9440000000000001,-0.35453978180885315,1.087754726409912
2005-09-17,0.47035765647888184,1.0759506225585938,-0.816,0.7090000000000001,-1.3291805982589722,0.7869160771369934
2005-09-21,-1.1699601411819458,0.8709300756454468,-0.41100000000000003,0.22399999999999998,-0.6336421966552734,0.3045091927051544
2005-09-24,-0.8415486812591553,0.8111488223075867,-0.13,0.059000000000000004,-0.2775024175643921,0.242329403758049
2005-09-28,-0.25539544224739075,0.165299192070961,-0.687,-0.106,-0.38077741861343384,-0.27283015847206116
2005-10-01,-0.3941933810710907,0.3099324405193329,-0.9790000000000001,-0.322,-1.235695242881775,-0.22212235629558563
2005-10-05,-1.084338665008545,-0.28146621584892273,-0.81,-1.113,-0.7476434707641602,-1.2828361988067627
2005-10-08,-1.1287862062454224,-0.7385720610618591,-0.19,-1.337,-0.066287562251091,-0.8953298926353455
2005-10-12,-0.42144858837127686,-1.013358473777771,1.183,-0.038,0.9540301561355591,0.2341783493757248
2005-10-15,0.9805241823196411,-0.5115532875061035,1.284,0.4,0.8344325423240662,0.25003984570503235
2005-10-19,0.9768781065940857,0.3359237611293793,0.62,-0.25,0.2850401997566223,-0.29125216603279114
2005-10-22,0.3940699100494385,0.056880466639995575,0.9840000000000001,-0.495,0.8861715793609619,-0.5340274572372437
2005-10-26,0.739804744720459,-0.2222008854150772,1.69,-0.418,1.5280507802963257,-0.6150131821632385
2005-10-29,1.3843368291854858,-0.6566450595855713,1.3359999999999999,0.011000000000000001,1.361954689025879,-0.5693126320838928
2005-11-02,1.5726171731948853,-0.6050522327423096,0.89,0.5920000000000001,0.7015808820724487,0.38734471797943115
2005-11-05,1.0770809650421143,0.022077230736613274,0.39299999999999996,0.841,0.5783493518829346,0.9598469138145447
2005-11-09,0.5310450196266174,0.8890073895454407,0.353,0.778,0.3337446451187134,0.8236215114593506
2005-11-12,0.5343604683876038,0.6703922748565674,-0.275,1.214,-0.6706057786941528,0.6627207398414612
2005-11-16,-0.48837119340896606,0.8114745616912842,-1.031,0.467,-1.1910278797149658,0.15060113370418549
2005-11-19,-1.1791062355041504,0.5275425910949707,-0.8809999999999999,0.036000000000000004,-0.5047489404678345,-0.324101060628891
2005-11-23,-0.9844954013824463,-0.32282108068466187,-0.42100000000000004,0.098,0.05083063617348671,0.08146835118532181
2005-11-26,-0.15297947824001312,-0.40044736862182617,-0.028999999999999998,-0.107,0.008157612755894661,-0.06482924520969391
2005-11-30,0.24023179709911346,0.07070951908826828,0.10300000000000001,-0.32299999999999995,-0.08178359270095825,-0.300949364900589
2005-12-03,-0.407023549079895,-0.2548609972000122,-0.298,-0.245,0.2815443277359009,-0.6849765181541443
2005-12-07,0.17659488320350647,-0.6244279742240906,-0.225,-0.479,0.09648396074771881,-0.6596440076828003
2005-12-10,0.809633195400238,-0.6434731483459473,-0.22399999999999998,-0.32299999999999995,-0.31800323724746704,-0.42991143465042114
2005-12-14,-0.15321649610996246,-0.4024730622768402,0.742,-0.239,0.9174177050590515,-0.5245563387870789
